sketch,notes_path,parameter,canonical_parameter,default,tried,change_score,signal,effect,deterministic,baseline_display,uses_shader,evidence_warning
2018/Generativos/balls,out/2018/Generativos/balls/notes.md,count,count,1000,[300],large,high,"sparser: pale background visible in many gaps, shapes read individually instead of as a dense field",true,:2,false,
2018/Generativos/balls,out/2018/Generativos/balls/notes.md,capsuleAngle,capsuleangle,PI*0.3,"[""PI*0.1""]",moderate,high,"capsules tilt shallower (18 deg vs 54 deg), diagonal bands run flatter across the canvas",true,:2,false,
2018/Generativos/balls,out/2018/Generativos/balls/notes.md,capsuleLenScale,capsulelenscale,random(0.8),"[""random(0.3)""]",moderate,high,capsules become short stubby pills/dashes; the long parallel bands of the baseline disappear,true,:2,false,
2018/Generativos/balls,out/2018/Generativos/balls/notes.md,capsuleWidthFactor,capsulewidthfactor,random(0.3),"[""random(0.6)""]",moderate,high,capsules noticeably thicker/chunkier relative to their length,true,:2,false,
2018/Generativos/balls,out/2018/Generativos/balls/notes.md,discSizeScale,discsizescale,random(0.5),"[""random(0.25)""]",moderate,high,circles all about half the size; composition shifts to a field of small discs with the same capsules,true,:2,false,
2018/Generativos/balls,out/2018/Generativos/balls/notes.md,rimAlpha,rimalpha,16,[80],none,low,no visible change: the faint dark ring around discs stays barely visible even at 5x alpha,true,:2,false,
2018/Generativos/balls,out/2018/Generativos/balls/notes.md,palettePick,palettepick,,,,unscored,,true,:2,false,
2018/Generativos/basic,out/2018/Generativos/basic/notes.md,cc,cc,5..50,"[""15..25""]",subtle,low,finer ~16x16 grid; shapes shrink and land in different cells,true,:2,false,
2018/Generativos/basic,out/2018/Generativos/basic/notes.md,gridStrokeAlpha,gridstrokealpha,12,[90],none,low,no visible change per score; grid lines only fractionally darker,true,:2,false,
2018/Generativos/basic,out/2018/Generativos/basic/notes.md,ccc,ccc,2..cc^1.4,"[""2..6*cc^1.4""]",subtle,low,"still two visible sectors, with different orientations/gradients",true,:2,false,
2018/Generativos/basic,out/2018/Generativos/basic/notes.md,sweepQuanta,sweepquanta,0..3 quarter turns,"[""0..7 quarter turns""]",subtle,low,"sectors take different sweeps; one near-invisible, one a half-disc",true,:2,false,
2018/Generativos/basic,out/2018/Generativos/basic/notes.md,colors,colors,pink/teal/blue 5-colour list,"[""grey/blue/orange 5-colour list""]",moderate,high,light-grey background; sectors become navy/grey-blue and orange/blue-grey,true,:2,false,
2018/Generativos/bbballs,out/2018/Generativos/bbballs/notes.md,count,count,"random(10000)*random(0.1,1)","[""random(10000)*random(0.1,0.25)""]",large,high,"far fewer circles; large sparsely scattered discs, lots of empty background",true,:2,false,
2018/Generativos/bbballs,out/2018/Generativos/bbballs/notes.md,sizeExponent,sizeexponent,0.8,[2.0],large,high,"circles much larger on average; canvas nearly fully covered, very few tiny dots",true,:2,false,
2018/Generativos/bbballs,out/2018/Generativos/bbballs/notes.md,sectorRoll,sectorroll,random(5),"[""random(2)""]",large,high,only 2-sector (halved) and solid discs; no quartered discs,true,:2,false,
2018/Generativos/bbballs,out/2018/Generativos/bbballs/notes.md,haloAlpha,haloalpha,8,[30],subtle,low,faint grey halo behind each disc slightly more visible; otherwise same,true,:2,false,
2018/Generativos/bbballs,out/2018/Generativos/bbballs/notes.md,palette,palette,10-colour warm/mixed list,"[""5-colour cool list""]",large,high,"same composition, recoloured navy/steel/light-blue/off-white/red",true,:2,false,
2018/Generativos/bbnn,out/2018/Generativos/bbnn/notes.md,sub,sub,int(random(10000)),[200],moderate,high,"fewer subdivision iterations -> coarser, larger tiles; mosaic smaller/sparser, dominated by a few large solid blocks in the upper-left",true,:2,false,
2018/Generativos/bbnn,out/2018/Generativos/bbnn/notes.md,ms_factor,ms factor,0.4999,[0.5],subtle,low,0.4999->0.5 removes the thin grid gaps; faces meet exactly and reveal 3D overlap/edge thickness (z-fighting) on the right edge,true,:2,false,
2018/Generativos/bbnn,out/2018/Generativos/bbnn/notes.md,palette,palette,bright 5-color,"[""night 5-color""]",moderate,high,"swap to the dark blue/gray/black night palette; same layout, all tiles recoloured",true,:2,false,
2018/Generativos/bbnn,out/2018/Generativos/bbnn/notes.md,camz,camz,-width*3,"[""-width*1""]",none,low,no visible change; orthographic projection is insensitive to camera distance,true,:2,false,
2018/Generativos/bbnn,out/2018/Generativos/bbnn/notes.md,init_size,init size,"width*random(1,3)","[""width*0.5""]",moderate,high,"half initial size -> smaller mosaic compacted to the upper-left, more visible 3D depth and z-fighting/flicker on the faces",true,:2,false,
2018/Generativos/blobs,out/2018/Generativos/blobs/notes.md,cc,cc,3,[5],large,high,"control points per blob; more = rounder, softer petal-like outlines",true,:2,false,
2018/Generativos/blobs,out/2018/Generativos/blobs/notes.md,blobCount,blobcount,400,[100],large,high,"number of blobs; fewer = sparser field, more background shows through",true,:2,false,
2018/Generativos/blobs,out/2018/Generativos/blobs/notes.md,sizeRange,sizerange,0.02-0.2,0.1-0.4,large,high,"per-blob size as fraction of width; larger = bigger blobs, heavier overlap, fuller coverage",true,:2,false,
2018/Generativos/blobs,out/2018/Generativos/blobs/notes.md,dd,dd,1.4,[2.2],moderate,high,shadow offset scale about blob center; larger = bigger dark echo behind each blob,true,:2,false,
2018/Generativos/blobs,out/2018/Generativos/blobs/notes.md,amp,amp,0.6,[2.0],subtle,low,colour oscillation amplitude; higher = wider hue sweep around a blob (barely visible),true,:2,false,
2018/Generativos/bordis,out/2018/Generativos/bordis/notes.md,cc,cc,"int(random(160,180)*1.2)",[60],,unscored,TBD,true,:2,false,
2018/Generativos/bordis,out/2018/Generativos/bordis/notes.md,walkers,walkers,120,[40],,unscored,TBD,true,:2,false,
2018/Generativos/bordis,out/2018/Generativos/bordis/notes.md,det,det,"random(0.004,0.012)*0.7","[""*2.0""]",,unscored,TBD,true,:2,false,
2018/Generativos/bordis,out/2018/Generativos/bordis/notes.md,lineAlpha,linealpha,180,[60],,unscored,TBD,true,:2,false,
2018/Generativos/bordis,out/2018/Generativos/bordis/notes.md,dotAlpha,dotalpha,40,[100],,unscored,TBD,true,:2,false,
2018/Generativos/bordis,out/2018/Generativos/bordis/notes.md,palette,palette,7-col warm/cool,"[""5-col blue/red alt""]",,unscored,TBD,true,:2,false,
2018/Generativos/botons,out/2018/Generativos/botons/notes.md,sub,sub,int(random(1000)),[],,unscored,,true,:2,false,
2018/Generativos/bububu,out/2018/Generativos/bububu/notes.md,cellAttempts,cellattempts,30000,[6000],none,low,"no visible change; packing saturates well before 30000 attempts, same cells accepted",true,:2,false,
2018/Generativos/bububu,out/2018/Generativos/bububu/notes.md,cellSizeMax,cellsizemax,0.6,[0.15],large,high,"max cell size as fraction of width; 0.15 removes the giant circles, leaves only small/medium clusters, more uniform texture",true,:2,false,
2018/Generativos/bububu,out/2018/Generativos/bububu/notes.md,det,det,random(0.01)*random(1),[0.001],moderate,high,"noise scale of the displacement field; lower = field varies faster in space, dots scatter less, clusters rounder and more compact",true,:2,false,
2018/Generativos/bububu,out/2018/Generativos/bububu/notes.md,displaceDist,displacedist,300,[60],large,high,"max noise displacement distance; 60 keeps small dots hugging their cells, clean round halo clusters instead of fuzzy silhouettes",true,:2,false,
2018/Generativos/bububu,out/2018/Generativos/bububu/notes.md,pointAttempts,pointattempts,100000,[20000],large,high,"inner packing attempts per cell; 20000 leaves clusters visibly sparser, more gray ground between dots",true,:2,false,
2018/Generativos/bububu,out/2018/Generativos/bububu/notes.md,background,background,80,[230],large,high,background gray level; 230 inverts the figure/ground to a light gray field (composition unchanged),true,:2,false,
2018/Generativos/candela,out/2018/Generativos/candela/notes.md,n_points,n points,100,[250],large,high,"more dot chains, rings and endpoint dots; canvas fully filled, no empty black areas",true,:2,false,
2018/Generativos/candela,out/2018/Generativos/candela/notes.md,tri_alpha,tri alpha,30,[120],moderate,high,"white Delaunay mesh clearly visible; whole image brightened/washed out, dot chains unchanged",true,:2,false,
2018/Generativos/candela,out/2018/Generativos/candela/notes.md,tri_stroke_alpha,tri stroke alpha,4,[60],none,low,"no visible change per score; only a faint thin black wireframe just perceptible (1px lines, ~1.3% of pixels)",true,:2,false,
2018/Generativos/candela,out/2018/Generativos/candela/notes.md,wire_steps_mult,wire steps mult,3,[10],large,high,beaded chains merge into smooth thick ribbons; endpoint dots read as large solid circles,true,:2,false,
2018/Generativos/candela,out/2018/Generativos/candela/notes.md,maxSize,maxsize,"[20,90]","[[20,200]]",large,high,"dots become huge overlapping blobs; wire structure mostly lost, composition blob-like",true,:2,false,
2018/Generativos/candela,out/2018/Generativos/candela/notes.md,colors,colors,"F8F8F9,FE3B00,7233A6,0601FE,000000","[""FFFFFF,FFC930,F58B3F,395942,212129""]",large,high,"same structure, warm yellow/orange/green palette replaces white/red/blue/black",true,:2,false,
2018/Generativos/candy,out/2018/Generativos/candy/notes.md,packFactor,packfactor,0.48,[],none,low,,true,:2,false,
2018/Generativos/capasAni,out/2018/Generativos/capasAni/notes.md,cc,cc,"random(1,50)",[8],large,high,"coarse grid: big overlapping discs tile the whole canvas in a regular clover-like pattern, grid dots prominent",true,:2,true,
2018/Generativos/capasAni,out/2018/Generativos/capasAni/notes.md,fishCount,fishcount,80,[300],subtle,low,many more small comet trails scattered over the canvas; large arcs and overall tone unchanged,true,:2,true,
2018/Generativos/capasAni,out/2018/Generativos/capasAni/notes.md,fishSize,fishsize,random(200),[400],subtle,low,trails become thicker and chunkier; composition unchanged,true,:2,true,
2018/Generativos/capasAni,out/2018/Generativos/capasAni/notes.md,arcAlpha,arcalpha,120,[255],large,high,big discs become strong opaque pastel masses covering most of the canvas; trails barely visible,true,:2,true,
2018/Generativos/capasAni,out/2018/Generativos/capasAni/notes.md,veil,veil,"fill(0,20)",[120],subtle,low,overall slightly darker; trails a touch less visible,true,:2,true,
2018/Generativos/caramel,out/2018/Generativos/caramel/notes.md,cc,cc,random(random(200000)),[60000],large,high,"fewer attempts -> sparser dot field, large empty brown areas",true,:2,false,
2018/Generativos/caramel,out/2018/Generativos/caramel/notes.md,maxSizeFrac,maxsizefrac,0.3,[0.6],large,high,"width*random(maxSizeFrac): bigger circles, canvas nearly fully covered by large dots",true,:2,false,
2018/Generativos/caramel,out/2018/Generativos/caramel/notes.md,gapFactor,gapfactor,0.6,[1.5],moderate,high,"(ss+p.z)*gapFactor rejection: wider minimum gap -> circles spaced further apart, diagonal shadow bands more visible",true,:2,false,
2018/Generativos/caramel,out/2018/Generativos/caramel/notes.md,shadowLen,shadowlen,3,[8],none,low,sx/sy multiplier for shadow tails: no visible change; opaque circles painted over the shadow region,true,:2,false,
2018/Generativos/caramel,out/2018/Generativos/caramel/notes.md,shadowAlpha,shadowalpha,20,[90],none,low,alpha of first shadow parallelogram: no visible change at this scale,true,:2,false,
2018/Generativos/caramelo,out/2018/Generativos/caramelo/notes.md,dustMaxRelSize,dustmaxrelsize,0.02,[0.06],subtle,low,background dust arcs up to 3x larger; circle layout unchanged,true,:2,false,
2018/Generativos/caramelo,out/2018/Generativos/caramelo/notes.md,packMaxRelRadius,packmaxrelradius,0.5,[0.25],large,high,"no giant circles; denser field of many smaller, more uniform candies",true,:2,false,
2018/Generativos/caramelo,out/2018/Generativos/caramelo/notes.md,wedgeCountMax,wedgecountmax,4,[11],large,high,up to 11 glow wedges per circle; big translucent glows wash the whole image out,true,:2,false,
2018/Generativos/caramelo,out/2018/Generativos/caramelo/notes.md,nestedMaxRelSize,nestedmaxrelsize,0.2,[0.35],large,high,"inner dots up to 35% of parent size; sparser, chunkier dot clusters",true,:2,false,
2018/Generativos/caramelo,out/2018/Generativos/caramelo/notes.md,palette,palette,9 colours (warm+cool),"[""5 cool colours""]",large,high,cool-only image (navy/purple/blue/sky/off-white); background becomes sky blue,true,:2,false,
2018/Generativos/cardu,out/2018/Generativos/cardu/notes.md,count,count,200000,[50000],large,high,field thins to a sparse band; individual dots/slivers and the cube's near edge become distinct,true,:2,false,
2018/Generativos/cardu,out/2018/Generativos/cardu/notes.md,sizeMul,sizemul,5,[15],large,high,"3x bigger dots stop blending into texture; canvas becomes confetti of separate coloured ellipses, near-black background mostly covered",true,:2,false,
2018/Generativos/cardu,out/2018/Generativos/cardu/notes.md,alpha,alpha,180,[60],large,high,field much dimmer; colour zones persist but the whole image is darker and the black background shows through,true,:2,false,
2018/Generativos/cardu,out/2018/Generativos/cardu/notes.md,noisedetail,noisedetail,0.001,[0.02],large,high,"coarser noise: wider, smoother colour regions (large gold/white/teal zones) and clumped, larger dots instead of fine even speckle",true,:2,false,
2018/Generativos/cardu,out/2018/Generativos/cardu/notes.md,zrange,zrange,480,[40],large,high,"points compressed into a thin slab; the cube reads as a dense flat sheet/band with soft edges, texture more uniform",true,:2,false,
2018/Generativos/caritas,out/2018/Generativos/caritas/notes.md,cc,cc,"random(80,300)",[300],large,high,"denser stacking; since yy is mapped over cc, every row remaps — more layers and more visible faces",false,:2,true,non-deterministic baseline; only large changes are reliable
2018/Generativos/caritas,out/2018/Generativos/caritas/notes.md,fillAlpha,fillalpha,240,[120],none,low,"no visible change — line 49 fill(rcol(), 240) is dead code: arc2() resets the fill per strip (lines 89/92) before it is ever used",false,:2,true,non-deterministic baseline; only large changes are reliable
2018/Generativos/caritas,out/2018/Generativos/caritas/notes.md,des,des,random(1000),"[""random(10)""]",large,high,"smoother noise field: dome sizes vary coherently over larger areas, larger flatter domes",false,:2,true,non-deterministic baseline; only large changes are reliable
2018/Generativos/caritas,out/2018/Generativos/caritas/notes.md,spread,spread,height*1.6,"[""height*0.8""]",large,high,"rows compressed into top 80% of height: much denser vertical packing, more overlap layers per column",false,:2,true,non-deterministic baseline; only large changes are reliable
2018/Generativos/caritas,out/2018/Generativos/caritas/notes.md,baseSize,basesize,width*random(0.6),"[""width*random(0.3)""]",large,high,"smaller, more numerous domes; less overlap so several complete faces are visible",false,:2,true,non-deterministic baseline; only large changes are reliable
2018/Generativos/carto001,out/2018/Generativos/carto001/notes.md,cc,cc,"int(random(8, 33)) (~16 cells at seed 42)",[32],moderate,high,"finer grid: smaller cells, thinner walks, denser overall pattern; stippled patches shrink to near-invisibility",true,:2,false,
2018/Generativos/carto001,out/2018/Generativos/carto001/notes.md,sub,sub,5,[10],none,low,no visible change - halving the sub-cell size leaves patch coverage looking the same,true,:2,false,
2018/Generativos/carto001,out/2018/Generativos/carto001/notes.md,det,det,random(0.01),"[""random(0.002)""]",none,low,no visible change at seed 42 despite 5x smaller noise scale,true,:2,false,
2018/Generativos/carto001,out/2018/Generativos/carto001/notes.md,noiseMaxFraction,noisemaxfraction,0.5,[1.5],subtle,low,"noise-sized squares ~3x larger, stippled patches read denser and coarser; dot lattice and walks unchanged",true,:2,false,
2018/Generativos/carto001,out/2018/Generativos/carto001/notes.md,walkStepsFactor,walkstepsfactor,0.04,[0.15],subtle,low,"walks ~4x longer, more connected, denser diagonal crosshatch coverage; other layers unchanged",true,:2,false,
2018/Generativos/carto002,out/2018/Generativos/carto002/notes.md,cc,cc,32,[16],moderate,high,"coarser grid; every layer (grid lines, diamonds, walk steps) scales up ~2x, reads as zoomed-in version",true,:2,false,
2018/Generativos/carto002,out/2018/Generativos/carto002/notes.md,sub,sub,5,[10],none,low,no visible change; the noise-mottled subgrid is too faint to affect the overall look,true,:2,false,
2018/Generativos/carto002,out/2018/Generativos/carto002/notes.md,walkSteps (cc*cc*factor),walksteps,0.04,[0.1],moderate,high,"walks ~2.5x longer; denser, longer continuous zig-zag paths",true,:2,false,
2018/Generativos/carto002,out/2018/Generativos/carto002/notes.md,diamondCount,diamondcount,40,[80],subtle,low,"twice as many scattered diamonds, more overlaps, same size distribution",true,:2,false,
2018/Generativos/carto002,out/2018/Generativos/carto002/notes.md,"bgGridAlpha (fill(0,a))",bggridalpha,20,[80],large,high,"background grid rects much darker; overall canvas tone drops, grid and white squares clearly visible",true,:2,false,
2018/Generativos/carto002,out/2018/Generativos/carto002/notes.md,walkWeight (ss*factor),walkweight,0.04,[0.1],subtle,low,"walk lines ~2.5x thicker; same layout, bolder line network",true,:2,false,
2018/Generativos/carto003,out/2018/Generativos/carto003/notes.md,cc,cc,32,[16],moderate,high,"coarser 16-cell grid: cells, diamonds and walk steps double, line web sparser",true,:2,false,
2018/Generativos/carto003,out/2018/Generativos/carto003/notes.md,sub,sub,5,[10],none,low,no visible change; only sub-pixel noise-dot size varies,true,:2,false,
2018/Generativos/carto003,out/2018/Generativos/carto003/notes.md,det,det,0.01,[0.002],none,low,no visible change (score mean 0.0); noise dots stay <=2px,true,:2,false,
2018/Generativos/carto003,out/2018/Generativos/carto003/notes.md,walkCount,walkcount,100,[25],moderate,high,"sparser meandering line web, all else identical",true,:2,false,
2018/Generativos/carto003,out/2018/Generativos/carto003/notes.md,diamondCount,diamondcount,40,[10],subtle,low,fewer scattered diamonds; web and grid unchanged,true,:2,false,
2018/Generativos/carto004,out/2018/Generativos/carto004/notes.md,cc,cc,32,[64],large,high,"halves cell size; grid, diamonds, hatch, quadtree cells all at half scale — finer, denser texture",true,:2,false,
2018/Generativos/carto004,out/2018/Generativos/carto004/notes.md,det,det,random(0.01),"[""random(0.003)""]",none,low,no visible change; pixel-identical — noise speckle layer rounds to 0px at this seed,true,:2,false,
2018/Generativos/carto004,out/2018/Generativos/carto004/notes.md,subs,subs,"random(8,91)",[180],moderate,high,"denser quadtree: many more, smaller black-outlined rects and faint rings; earlier layers unchanged",true,:2,false,
2018/Generativos/carto004,out/2018/Generativos/carto004/notes.md,diamondCount,diamondcount,80,[40],moderate,high,sparser diamond scatter; fewer random() calls also shift the quadtree layout,true,:2,false,
2018/Generativos/carto004,out/2018/Generativos/carto004/notes.md,walkSteps,walksteps,(cc*cc)*0.04,"[""(cc*cc)*0.16""]",large,high,4x denser grey diagonal hatch covering the canvas; quadtree layout also shifts (random sequence),true,:2,false,
2018/Generativos/ccss,out/2018/Generativos/ccss/notes.md,count,count,2000,[5000],large,high,"busier, denser mosaic with more overlapping blocks",true,:2,false,
2018/Generativos/ccss,out/2018/Generativos/ccss/notes.md,sizeExpMax,sizeexpmax,9,[6],moderate,high,"no sub-30px blocks; larger, more legible blocks and subdivided regions",true,:2,false,
2018/Generativos/ccss,out/2018/Generativos/ccss/notes.md,subWMax,subwmax,20,[6],large,high,"chunkier cells, coarser patchwork instead of fine grain",true,:2,false,
2018/Generativos/ccss,out/2018/Generativos/ccss/notes.md,stripeAlpha,stripealpha,random(200)*random(1),"[""random(200)""]",large,high,"darker, more prominent black stripes across blocks",true,:2,false,
2018/Generativos/ccss,out/2018/Generativos/ccss/notes.md,lightAlpha,lightalpha,6,[100],none,low,no visible change,true,:2,false,
2018/Generativos/cells,out/2018/Generativos/cells/notes.md,count,count,1000,"[250,3000]",large,high,"fewer = separated soft disks with visible dark cores and more background showing; more = denser, busier, stronger dark navy smudges",true,:2,false,
2018/Generativos/cells,out/2018/Generativos/cells/notes.md,maxsize,maxsize,0.4,[0.15],large,high,smaller max blob size turns the field into small soft dots over a visible cream background,true,:2,false,
2018/Generativos/cells,out/2018/Generativos/cells/notes.md,alphaMax,alphamax,250,[80],moderate,high,"same composition but paler, lower-contrast, washed-out",true,:2,false,
2018/Generativos/cells,out/2018/Generativos/cells/notes.md,palette,palette,"[""#121435"",""#FAF9F0"",""#EDEBCA"",""#FF5722""]","[""#0D1B2A"",""#E0E1DD"",""#1B9AAA"",""#776DAF""]",large,high,identical structure recolored to cool teal/purple/gray-blue,true,:2,false,
2018/Generativos/chea02,out/2018/Generativos/chea02/notes.md,nSegments,nsegments,60,[20],large,high,"fewer segments = much sparser web; individual curves and concentric rings become visible, large empty areas",true,:2,false,
2018/Generativos/chea02,out/2018/Generativos/chea02/notes.md,lineAlpha,linealpha,10,[100],none,low,no visible change - the faint straight base lines contribute almost nothing either way,true,:2,false,
2018/Generativos/chea02,out/2018/Generativos/chea02/notes.md,stepDensity,stepdensity,2,[8],moderate,high,"4x more steps per segment = thicker, denser, more saturated ribbons, same overall composition",true,:2,false,
2018/Generativos/chea02,out/2018/Generativos/chea02/notes.md,ampRange,amprange,400,[200],moderate,high,"halving the start-size range thins strokes near segment starts; web reads slightly lighter, central green arc more prominent",true,:2,false,
2018/Generativos/chea02,out/2018/Generativos/chea02/notes.md,alpRange,alprange,40,[120],moderate,high,"higher start alpha = more opaque strokes, web more saturated, especially mid-band and lower orange area",true,:2,false,
2018/Generativos/chea03,out/2018/Generativos/chea03/notes.md,line_count,line count,60,[120],moderate,high,"denser, busier overprint; background less visible, more prominent orange/pink ribbons",true,:2,false,
2018/Generativos/chea03,out/2018/Generativos/chea03/notes.md,amp,amp,400,[200],moderate,high,"all shapes and beads about half size; finer, lighter, more mesh-like texture",true,:2,false,
2018/Generativos/chea03,out/2018/Generativos/chea03/notes.md,alpha,alpha,80,[200],moderate,high,ribbons more opaque and saturated; overprint denser (only ~10% of pixels changed),true,:2,false,
2018/Generativos/chea03,out/2018/Generativos/chea03/notes.md,osc,osc,2,[0.3],none,low,no visible change; bead size pulse is too small to see at this scale,true,:2,false,
2018/Generativos/chea03,out/2018/Generativos/chea03/notes.md,line_alpha,line alpha,10,[80],none,low,"no visible change; connector lines stay invisible, erased by the dense overprint of later shape outlines",true,:2,false,
2018/Generativos/chime,out/2018/Generativos/chime/notes.md,boxCount,boxcount,1200,[400],moderate,high,"sparser field, more green background showing",true,:2,false,
2018/Generativos/chime,out/2018/Generativos/chime/notes.md,maxW,maxw,200,[600],large,high,"wider, bigger cards; large yellow/green slabs dominate",true,:2,false,
2018/Generativos/chime,out/2018/Generativos/chime/notes.md,scatterVolume,scattervolume,500,[150],large,high,"much denser; background mostly hidden, huge near-camera plane across center",true,:2,false,
2018/Generativos/chime,out/2018/Generativos/chime/notes.md,fov,fov,"PI/random(2.2,3.0)","[""PI/random(1.2,1.8)""]",large,high,"wider angle: stronger perspective, near planes much bigger",true,:2,false,
2018/Generativos/chime,out/2018/Generativos/chime/notes.md,maxD,maxd,2,[40],moderate,high,boxes show visible thickness (3D side faces) instead of flat cards,true,:2,false,
2018/Generativos/chime,out/2018/Generativos/chime/notes.md,strokeWeight,strokeweight,0.5,[3],subtle,low,no visible change; stroke alpha 20 keeps edges faint,true,:2,false,
2018/Generativos/chime,out/2018/Generativos/chime/notes.md,boxGrid,boxgrid,,,,unscored,,true,:2,false,
2018/Generativos/chime,out/2018/Generativos/chime/notes.md,confettiScatter,confettiscatter,,,,unscored,,true,:2,false,
2018/Generativos/chime,out/2018/Generativos/chime/notes.md,lerpRampColor,lerprampcolor,,,,unscored,,true,:2,false,
2018/Generativos/circir,out/2018/Generativos/circir/notes.md,cc,cc,1000,[500],moderate,high,"fewer circles: olive ground shows between them, individual circles more distinct",true,:2,false,
2018/Generativos/circir,out/2018/Generativos/circir/notes.md,disk alpha,disk alpha,120,[255],moderate,high,"opaque disks: flat unblended palette colours, muddy brown-green blending gone",true,:2,false,
2018/Generativos/circir,out/2018/Generativos/circir/notes.md,s (disk diameter),s,random(120),"[""random(60)"",""random(200)""]",moderate,high,"smaller = finer sparse field, ground visible; larger = full coverage, soft big patches",true,:2,false,
2018/Generativos/circir,out/2018/Generativos/circir/notes.md,halo alpha,halo alpha,20,[80],moderate,high,"faint halo rings become clearly visible around circles, field darkens",true,:2,false,
2018/Generativos/circity,out/2018/Generativos/circity/notes.md,sub,sub,"int(random(3, random(5, 40)))",[8],large,high,"8x8 grid instead of 4x4; smaller tiles, thinner streets, denser layout",true,:2,false,
2018/Generativos/circity,out/2018/Generativos/circity/notes.md,ver,ver,"random(0.8, 0.9)",[0.6],large,high,"smaller light border rect; dark background shows in wider gaps between tiles, intersection motifs loom larger over them",true,:2,false,
2018/Generativos/circity,out/2018/Generativos/circity/notes.md,man,man,"ver-random(0.05, 0.1)",[0.45],large,high,"much smaller dark interior and motif scale; tiles read as white with small centred content, corner diamonds dominate",true,:2,false,
2018/Generativos/circity,out/2018/Generativos/circity/notes.md,glow alpha (random(10)),glow alpha,random(10),[120],moderate,high,"strong translucent colour halos wash over the whole canvas, dulling and mixing the palette",true,:2,false,
2018/Generativos/circity,out/2018/Generativos/circity/notes.md,street gap amp (linee),street gap amp,0.4,[0.1],none,low,no visible change; dash length of the 1px street lines is below pixel resolution at this size,true,:2,false,
2018/Generativos/circity,out/2018/Generativos/circity/notes.md,cc,cc,"int(random(2, 10))",[20],moderate,high,checkerboard motif cells up to 20x20; affected tiles show fine dense checker texture instead of coarse squares,true,:2,false,
2018/Generativos/circity2,out/2018/Generativos/circity2/notes.md,sub,sub,"random(3, random(5, 40))",[12],large,high,"finer 12-division grid, smaller motifs, same Bauhaus field layout with reshuffled randoms",true,:2,false,
2018/Generativos/circity2,out/2018/Generativos/circity2/notes.md,ver,ver,"random(0.8, 0.9)",[0.3],large,high,"white block shrinks to sliver; soft wash and big triangles dominate, large smooth gradient areas",true,:2,false,
2018/Generativos/circity2,out/2018/Generativos/circity2/notes.md,man,man,"ver-random(0.05, 0.1)","[""ver+0.35""]",large,high,coloured block outgrows and fully covers the white block + corner-cut triangle; cells become solid single-colour squares,true,:2,false,
2018/Generativos/circity2,out/2018/Generativos/circity2/notes.md,background,background,30,[235],none,low,no visible change; background fully covered by wash and shapes,true,:2,false,
2018/Generativos/circity2,out/2018/Generativos/circity2/notes.md,palette,palette,2018 bauhaus 6-colour set,"[""#1D3557 #457B9D #A8DADC #F1FAEE #E63946 #F1C40F""]",large,high,"same composition recoloured: yellow wash, coral reds, teal blues, cream",true,:2,false,
2018/Generativos/circity2,out/2018/Generativos/circity2/notes.md,washAlpha,washalpha,random(10),"[""random(80)""]",subtle,low,"slightly stronger, more saturated soft colour washes; layout unchanged",true,:2,false,
2018/Generativos/circles,out/2018/Generativos/circles/notes.md,count,count,60,[20],moderate,high,"sparser scatter, more white, less overlap",true,:2,true,
2018/Generativos/circles,out/2018/Generativos/circles/notes.md,maxCircleSize,maxcirclesize,0.3,[1.0],large,high,circles up to full canvas width; dense full-bleed overlap,true,:2,true,
2018/Generativos/circles,out/2018/Generativos/circles/notes.md,shadowAlpha,shadowalpha,200,[80],subtle,low,shadow cones fainter and washed out; circles unchanged,true,:2,true,
2018/Generativos/circles,out/2018/Generativos/circles/notes.md,shadowLength,shadowlength,"r1*random(0.5,10)","[""r1*random(0.5,2)""]",moderate,high,cones collapse to short grainy halos hugging each circle,true,:2,true,
2018/Generativos/circles,out/2018/Generativos/circles/notes.md,shadowWobble,shadowwobble,random(0.1)*random(1),"[""random(0.5)*random(1)""]",subtle,low,cones become broad twisted fans with rippled outer edges,true,:2,true,
2018/Generativos/circles003,out/2018/Generativos/circles003/notes.md,cccc (element count),cccc,"random(80, random(120,200))",[300],large,high,"more elements = denser full-bleed collage, background almost gone",true,:2,true,
2018/Generativos/circles003,out/2018/Generativos/circles003/notes.md,element size s,element size s,width*random(1)^3,"[""width*random(1)""]",large,high,"dropping the cube bias makes circles/fans full-canvas, few visible elements",true,:2,true,
2018/Generativos/circles003,out/2018/Generativos/circles003/notes.md,background,background,250,[20],large,high,"same layout on near-black; translucent fans read deeper, shadow blobs vanish",true,:2,true,
2018/Generativos/circles003,out/2018/Generativos/circles003/notes.md,palette,palette,10-colour list,"[""[#100D93,#DF390C]""]",large,high,"duotone navy/red-orange, high-contrast bold fans",true,:2,true,
2018/Generativos/circles003,out/2018/Generativos/circles003/notes.md,arc() fan alpha1,arc fan alpha1,255,[100],none,low,no visible change; these wedge fans are too small/sparse to matter,true,:2,true,
2018/Generativos/circles004,out/2018/Generativos/circles004/notes.md,det,det,random(0.01),[0.05],none,low,no visible change; stipple dots are <=~6.5px so noise scale is imperceptible,true,:2,true,
2018/Generativos/circles004,out/2018/Generativos/circles004/notes.md,stippleCount,stipplecount,1000000,[200000],large,high,grain visibly sparser AND whole circle layout shifts (loop consumes fewer random() calls),true,:2,true,
